id,id_long,WIGOS,short_name,location,radar_type,postchange_start,prechange_end,site_lat,site_lon,ge_ground_altitude,site_alt,status,band,doppler,dp,eth_dhz_threshold,beamwidth,state,notes
1,001_1,0-20000-0-94867,CampRd,Broadmeadows,DWSR81C,28/10/1999,13/08/2010,-37.6899,144.9472,114,127.3,OK,C,,,18,1.7,VIC,not operational
1,001_2,0-20000-0-94867,CampRd,Broadmeadows,Wur2502C-8,25/07/2017,-,-37.6899,144.9472,114,127.3,OK,C,Yes,Yes,0,1.7,VIC,not operational
2,002_1,0-20000-0-94865,Melb,Melbourne,DWSR81C,7/09/1993,30/07/2007,-37.8553,144.7554,20,42,OK,C,,,18,1,VIC,
2,002_2,0-20000-0-94865,Melb,Melbourne,Meteor1500S,31/07/2007,25/08/2017,-37.8553,144.7554,20,45.093,OK,S,Yes,,0,1,VIC,
2,002_3,0-20000-0-94865,Melb,Melbourne,Meteor1500S,11/10/2017,-,-37.8553,144.7554,20,45.093,OK,S,Yes,Yes,0,1,VIC,
3,003_1,,Sydney,Sydney,DWSR74S,8/10/1995,8/02/2011,-34.2625,150.8752,451,471.625,OK,S,,,18,1.9,NSW,
3,003_2,0-20000-0-06821,Wollgng,Wollongong,DWSR8502S-14,9/02/2011,-,-34.2625,150.8752,451,471.625,OK,S,Yes,,0,1.9,NSW,
4,004_1,0-20000-0-06128,LemnTre,Newcastle,DWSR74S,7/09/1999,30/04/2013,-32.7298,152.0254,58,84.337,OK,S,,,18,1.9,NSW,
4,004_2,0-20000-0-06128,LemnTre,Newcastle,DWSR74S14-13,1/05/2013,-,-32.7298,152.0254,58,84.337,OK,S,Yes,,0,1.9,NSW,
5,005_1,0-20000-0-94300,Carnvn,Carnarvon,DWSR2502C-8,7/12/2004,-,-24.8879,113.6693,4,11.966,OK,C,,,18,1.7,WA,
6,006_1,0-20000-0-94403,Gerlton,Geraldton,DWSR2502C,8/02/2003,17/03/2019,-28.8046,114.6973,31,48.034,OK,C,,,18,1.7,WA,
6,006_2,0-20000-0-94403,Gerlton,Geraldton,Meteor735C,11/06/2019,-,-28.8044,114.6972,31,48.034,OK,C,Yes,Yes,0,1,WA,
7,007_1,0-20000-0-94214,Wyndham,Wyndham,WF100C-8,9/02/2010,-,-15.4517,128.1209,323,339.374,OK,C,,,18,1.7,WA,mostly operated in PPI mode
8,008_1,0-20000-0-99088,Kanign,Gympie,WF44,8/11/1999,26/08/2007,-25.9574,152.577,351,353.975,OK,S,,,18,3,QLD,
8,008_2,0-20000-0-99088,Kanign,Gympie,DWSR8502S-14,27/08/2007,-,-25.9574,152.577,351,353.975,OK,S,Yes,,0,1.9,QLD,
9,009_1,0-20000-0-94150,Gove,Gove,TVDR2500,1/10/2002,31/05/2023,-12.275,136.8199,54,75.7,OK,C,,,18,1.7,NT,
10,010_1,,Darwin,DarwinAP,DWSR2502C,25/02/1995,5/10/2021,-12.4247,130.8919,31,39.466,OK,C,,,18,1.7,NT,airport radar
10,010_2,,Darwin,DarwinAP,Wur2502C-8,28/06/2022,-,-12.4247,130.8919,31,39.466,OK,C,Yes,,18,1.7,NT,airport radar
11,011_1,0-20000-0-94672,Adel,AdelaideAP,WF100C,3/02/2005,10/07/2005,-34.95,138.533,4,13,OK,C,,,18,1.7,SA,airport radar
12,012_1,0-20000-0-94610,Perth,Perth,WF100C,10/03/1997,16/06/2010,-31.953,115.842,55,56,OK,C,,,18,1.7,WA,
14,014_1,0-20000-0-94821,Gambier,Mt Gambier,WF44,2/01/2001,2/02/2004,-37.7477,140.7746,67,80.374,OK,S,,,18,3,SA,
14,014_2,0-20000-0-94821,Gambier,Mt Gambier,WF100C-8,3/02/2004,-,-37.7477,140.7746,67,80.374,OK,C,,,18,1.7,SA,
15,015_1,,Dampier,Dampier,WSR81C,24/11/2004,2/08/2020,-20.6535,116.6833,33,57.5,OK,C,,,18,1.7,WA,
15,015_2,,Dampier,Dampier,WRM200-14,30/11/2020,-,-20.6535,116.6833,33,57.5,OK,C,Yes,Yes,0,1,WA,Vaisala radar
16,016_1,0-20000-0-94312,PHedld,Port Hedland,TVDR2500-8,11/03/1996,-,-20.3719,118.6317,9,23.774,OK,C,,,18,1.7,WA,
17,017_1,0-20000-0-94203,Broome,Broome,DWSR2502C,27/09/2002,11/07/2021,-17.9483,122.2353,11,31.436,OK,C,,,18,1.7,WA,
17,017_2,0-20000-0-94203,Broome,Broome,Wur2502C-8,7/09/2021,-,-17.9483,122.2353,11,31.436,OK,C,Yes,,0,1.6,WA,
18,018_1,0-20000-0-94170,Weipa18,Weipa,WF100C,5/11/1999,11/10/2015,-12.671,141.922,25,35,OK,C,,,18,1.7,QLD,
19,019_1,,Cairns,Cairns,WSR81C,8/03/1995,19/11/2014,-16.8182,145.6628,654,660.851,OK,C,,,18,1.7,QLD,
19,019_2,,Cairns,Cairns,Wur2502C-14,20/11/2014,-,-16.8182,145.6628,654,660.851,OK,C,Yes,,0,1,QLD,
20,020_1,,Twnsvl,TownsvilleAP,WF100C,21/12/1998,31/08/2014,-19.25,146.767,4,16,OK,C,,,18,2.1,QLD,airport radar
21,021_1,,MtStrt,Townsville,WF44,24/12/1998,17/08/2011,-19.3435,146.7808,583,585,OK,S,,,18,3,QLD,
22,022_1,0-20000-0-94367,Mackay,Mackay,WF44,31/10/1999,31/03/2006,-21.1173,149.2173,33,55.257,OK,S,,,18,3,QLD,
22,022_2,0-20000-0-94367,Mackay,Mackay,TVDR2500,1/04/2006,7/12/2023,-21.1173,149.2173,33,55.257,OK,C,,,18,1.7,QLD,
22,022_3,0-20000-0-94367,Mackay,Mackay,Meteor1700S,8/12/2023,-,-21.1173,149.2173,33,55.257,OK,S,Yes,Yes,0,1,QLD,
23,023_1,0-20000-0-94380,Gladstn,Gladstone,WF44,24/12/1998,5/12/2004,-23.855,151.2626,58,92.56,OK,S,,,18,3,QLD,
23,023_2,0-20000-0-94380,Gladstn,Gladstone,WSR74S-14,6/12/2004,-,-23.855,151.2626,58,92.56,OK,S,,,18,1.9,QLD,
24,024_1,,Bowen,Bowen,WF100C-8,7/05/2004,-,-19.8857,148.0756,47,72.504,OK,C,,,18,1.7,QLD,
25,025_1,0-20000-0-94326,AliceSp,Alice Springs,WF100C-8,28/10/2003,-,-23.795,133.8889,548,563.374,OK,C,,,18,1.7,NT,
26,026_1,,PrthAP,Perth AP,DWSR2502C,18/05/1997,30/04/2018,-31.9273,115.9756,16,24.616,OK,C,,,18,1.7,WA,
26,026_2,,PrthAP,Perth AP,Wur2502C-8,30/04/2018,28/11/2020,-31.9273,115.9756,16,24.616,OK,C,,,18,1.7,WA,airport radar
26,026_3,,PrthAP,Perth AP,Wur2502C-8,29/11/2020,-,-31.9273,115.9756,16,24.616,OK,C,Yes,,18,1.7,WA,airport radar
27,027_1,0-20000-0-94659,Woomera,Woomera,WF100C-8,11/12/2000,-,-31.1558,136.8044,169,175.974,OK,C,,,18,1.7,SA,
28,028_1,0-20000-0-95571,Grafton,Grafton,WSR74S-14,23/09/1998,-,-29.6206,152.9633,25,49.76,OK,S,,,18,1.9,QLD,
29,029_1,,Lrmonth,Learmouth,TVDR2500-8,24/02/1995,10/12/2020,-22.1032,113.9997,318,333.374,OK,C,,,18,1.7,WA,
29,029_2,,Lrmonth,Learmouth,TVDR2500-8,17/12/2020,-,-22.1032,113.9997,318,333.374,OK,C,Yes,,18,1.7,WA,
30,030_1,0-20000-0-94693,Mildura,Mildura,WF100-5C,16/11/2000,15/03/2021,-34.235,142.0861,44,59.3,OK,C,,,18,2,VIC,
31,031_1,0-20000-0-94802,Albany,Albany,WF100C,2/12/2002,30/11/2011,-34.9418,117.8164,69,93.434,OK,C,,,18,1.7,WA,
31,031_2,0-20000-0-94802,Albany,Albany,DWSR2502C,1/12/2011,4/02/2019,-34.9418,117.8164,69,93.434,OK,C,,,18,1.7,WA,
31,031_3,0-20000-0-94802,Albany,Albany,Meteor735C,14/05/2019,-,-34.9418,117.8163,69,93.434,OK,C,Yes,Yes,0,1,WA,
32,032_1,0-20000-0-94638,Esprnce,Esperence,WF100C,28/11/2001,30/09/2019,-33.8303,121.8917,17,43.334,OK,C,,,18,1.7,WA,
32,032_2,0-20000-0-94638,Esprnce,Esperence,Meteor735C,28/12/2019,-,-33.8303,121.8917,17,43.334,OK,C,Yes,Yes,0,1,WA,
33,033_1,0-20000-0-94653,Ceduna,Ceduna,WF100C,8/02/2001,30/06/2010,-32.1298,133.6963,14,32.616,OK,C,,,18,2.1,SA,
